IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4101200;01;LESTE;Antonina;2656;73;2572;0
4109500;01;LESTE;Guaraqueçaba;760;19;739;0
4109609;01;LESTE;Guaratuba;5570;185;5340;2
4115705;01;LESTE;Matinhos;4052;148;3892;1
4116208;01;LESTE;Morretes;2294;56;2214;2
4118204;01;LESTE;Paranaguá;24665;567;23872;2
4119954;01;LESTE;Pontal do Paraná;3814;130;3660;2
4100202;02;LESTE;Adrianópolis;1421;29;1391;0
4100301;02;LESTE;Agudos do Sul;975;33;916;0
4100400;02;LESTE;Almirante Tamandaré;11432;439;10358;14
4101804;02;LESTE;Araucária;29966;557;29373;27
4102307;02;LESTE;Balsa Nova;1769;37;1637;2
4103107;02;LESTE;Bocaiúva do Sul;2240;30;2151;0
4104006;02;LESTE;Campina Grande do Sul;6081;170;5813;4
4104204;02;LESTE;Campo Largo;21080;512;20522;12
4104253;02;LESTE;Campo Magro;3639;92;3311;3
4104105;02;LESTE;Campo do Tenente;367;19;348;0
4105201;02;LESTE;Cerro Azul;1488;54;1433;1
4105805;02;LESTE;Colombo;26650;899;25082;21
4106209;02;LESTE;Contenda;2688;73;2543;1
4106902;02;LESTE;Curitiba;219974;7862;207123;520
4128633;02;LESTE;Doutor Ulysses;365;8;353;1
4107652;02;LESTE;Fazenda Rio Grande;16650;480;15840;25
4111258;02;LESTE;Itaperuçu;3977;123;3814;0
4113205;02;LESTE;Lapa;5014;135;4858;3
4114302;02;LESTE;Mandirituba;3673;98;3518;2
4119152;02;LESTE;Pinhais;19472;609;18261;17
4119509;02;LESTE;Piraquara;13987;347;13139;8
4119103;02;LESTE;Piên;1942;31;1898;1
4120804;02;LESTE;Quatro Barras;3855;106;3692;6
4121208;02;LESTE;Quitandinha;1743;60;1678;0
4122206;02;LESTE;Rio Branco do Sul;5745;158;5484;2
4122305;02;LESTE;Rio Negro;2241;72;2168;4
4125506;02;LESTE;São José dos Pinhais;35203;1113;33335;71
4127601;02;LESTE;Tijucas do Sul;2309;76;2226;0
4127882;02;LESTE;Tunas do Paraná;811;23;783;0
4101606;03;LESTE;Arapoti;3421;67;3331;0
4104659;03;LESTE;Carambeí;3881;73;3788;0
4104907;03;LESTE;Castro;11989;254;11566;2
4110508;03;LESTE;Ipiranga;1379;32;1284;0
4111407;03;LESTE;Ivaí;1226;25;1184;0
4112009;03;LESTE;Jaguariaíva;4852;156;4692;1
4117701;03;LESTE;Palmeira;4392;96;4275;5
4119400;03;LESTE;Piraí do Sul;3425;86;3246;1
4119905;03;LESTE;Ponta Grossa;54443;1406;51259;69
4120101;03;LESTE;Porto Amazonas;521;22;483;0
4126306;03;LESTE;Sengés;2554;62;2487;0
4125100;03;LESTE;São João do Triunfo;854;10;655;0
4107736;04;LESTE;Fernandes Pinheiro;641;14;557;0
4108957;04;LESTE;Guamiranga;1304;21;1261;0
4110102;04;LESTE;Imbituva;5082;116;4935;1
4110201;04;LESTE;Inácio Martins;1399;19;1246;0
4110706;04;LESTE;Irati;9691;195;9462;2
4113908;04;LESTE;Mallet;879;14;861;1
4121505;04;LESTE;Rebouças;1954;42;1893;0
4122008;04;LESTE;Rio Azul;1458;24;1396;0
4127007;04;LESTE;Teixeira Soares;1018;16;964;2
4103040;05;LESTE;Boa Ventura de São Roque;624;8;572;0
4103958;05;LESTE;Campina do Simão;412;15;393;0
4104428;05;LESTE;Candói;1627;33;1515;0
4104451;05;LESTE;Cantagalo;1192;30;1111;0
4108452;05;LESTE;Foz do Jordão;578;17;539;1
4108650;05;LESTE;Goioxim;445;6;434;0
4109401;05;LESTE;Guarapuava;22889;615;21625;2
4113254;05;LESTE;Laranjal;414;13;397;0
4113304;05;LESTE;Laranjeiras do Sul;3087;100;2910;0
4115457;05;LESTE;Marquinho;391;8;377;0
4117057;05;LESTE;Nova Laranjeiras;1000;12;981;0
4117800;05;LESTE;Palmital;1499;39;1449;0
4119301;05;LESTE;Pinhão;2456;89;2344;0
4119608;05;LESTE;Pitanga;3998;55;3897;0
4120150;05;LESTE;Porto Barreiro;324;4;319;1
4120606;05;LESTE;Prudentópolis;4359;109;4221;1
4121752;05;LESTE;Reserva do Iguaçu;676;9;663;0
4122156;05;LESTE;Rio Bonito do Iguaçu;1003;15;983;1
4127965;05;LESTE;Turvo;2565;36;2526;0
4128658;05;LESTE;Virmond;383;7;325;0
4101309;06;LESTE;Antônio Olinto;589;16;558;0
4102901;06;LESTE;Bituruna;1480;22;1408;0
4106803;06;LESTE;Cruz Machado;1420;27;1388;0
4108502;06;LESTE;General Carneiro;909;35;862;0
4118600;06;LESTE;Paula Freitas;711;16;680;1
4118709;06;LESTE;Paulo Frontin;463;2;396;0
4120309;06;LESTE;Porto Vitória;172;6;166;0
4125605;06;LESTE;São Mateus do Sul;4631;87;4490;1
4128203;06;LESTE;União da Vitória;8335;147;8141;1
4103222;07;OESTE;Bom Sucesso do Sul;528;9;519;2
4105409;07;OESTE;Chopinzinho;2660;52;2608;3
4105706;07;OESTE;Clevelândia;2257;89;2115;21
4106456;07;OESTE;Coronel Domingos Soares;1229;18;1211;2
4106506;07;OESTE;Coronel Vivida;3372;85;3277;3
4109658;07;OESTE;Honório Serpa;616;11;602;1
4111209;07;OESTE;Itapejara d'Oeste;2117;46;2066;18
4114401;07;OESTE;Mangueirinha;2181;51;2128;2
4115309;07;OESTE;Mariópolis;747;25;706;17
4117602;07;OESTE;Palmas;6904;165;6737;3
4118501;07;OESTE;Pato Branco;14021;306;13675;92
4126272;07;OESTE;Saudade do Iguaçu;868;15;853;0
4126652;07;OESTE;Sulina;389;7;381;0
4124806;07;OESTE;São João;1618;25;1593;0
4128708;07;OESTE;Vitorino;1123;37;1086;1
4101002;08;OESTE;Ampére;2706;60;2628;4
4102604;08;OESTE;Barracão;1390;37;1350;2
4102752;08;OESTE;Bela Vista da Caroba;234;7;227;0
4103024;08;OESTE;Boa Esperança do Iguaçu;198;1;193;0
4103156;08;OESTE;Bom Jesus do Sul;530;8;520;0
4104501;08;OESTE;Capanema;2773;28;2732;1
4106571;08;OESTE;Cruzeiro do Iguaçu;539;14;525;0
4107207;08;OESTE;Dois Vizinhos;7047;99;6914;2
4107405;08;OESTE;Enéas Marques;788;17;771;0
4107850;08;OESTE;Flor da Serra do Sul;635;25;608;0
4108403;08;OESTE;Francisco Beltrão;16824;280;16053;7
4114351;08;OESTE;Manfrinópolis;243;5;235;0
4115408;08;OESTE;Marmeleiro;2390;50;2334;0
4116950;08;OESTE;Nova Esperança do Sudoeste;667;11;636;0
4117255;08;OESTE;Nova Prata do Iguaçu;1289;22;1264;0
4119251;08;OESTE;Pinhal de São Bento;196;1;194;0
4119806;08;OESTE;Planalto;1278;20;1258;3
4120358;08;OESTE;Pranchita;734;8;705;2
4119004;08;OESTE;Pérola d'Oeste;524;8;514;0
4121406;08;OESTE;Realeza;2589;42;2544;3
4121604;08;OESTE;Renascença;846;21;815;0
4122800;08;OESTE;Salgado Filho;499;11;487;0
4123006;08;OESTE;Salto do Lontra;1850;32;1816;0
4123808;08;OESTE;Santa Izabel do Oeste;1354;35;1311;1
4124400;08;OESTE;Santo Antônio do Sudoeste;2443;32;2337;2
4125209;08;OESTE;São Jorge d'Oeste;1512;34;1478;1
4128609;08;OESTE;Verê;1189;23;1165;0
4108304;09;OESTE;Foz do Iguaçu;45915;1208;42519;3931
4110953;09;OESTE;Itaipulândia;1599;27;1551;6
4115606;09;OESTE;Matelândia;3064;65;2956;11
4115804;09;OESTE;Medianeira;8269;148;8050;14
4116059;09;OESTE;Missal;1280;21;1251;8
4121257;09;OESTE;Ramilândia;486;12;469;0
4124053;09;OESTE;Santa Terezinha de Itaipu;3645;110;3525;52
4126355;09;OESTE;Serranópolis do Iguaçu;669;14;655;0
4125704;09;OESTE;São Miguel do Iguaçu;3677;77;3552;9
4101051;10;OESTE;Anahy;470;13;455;0
4103057;10;OESTE;Boa Vista da Aparecida;1166;35;1131;0
4103354;10;OESTE;Braganey;682;10;671;0
4103453;10;OESTE;Cafelândia;3022;43;2977;2
4104055;10;OESTE;Campo Bonito;466;14;448;0
4104600;10;OESTE;Capitão Leônidas Marques;1995;31;1961;0
4104808;10;OESTE;Cascavel;49813;1130;48074;100
4105003;10;OESTE;Catanduvas;1190;21;1168;0
4106308;10;OESTE;Corbélia;2983;46;2921;1
